iter	Passed	Remaining
0	3	3333
1	6	3226
2	8	2976
3	12	3233
4	16	3302
5	19	3259
6	23	3316
7	26	3301
8	30	3400
9	33	3334
10	37	3336
11	40	3340
12	43	3323
13	47	3351
14	51	3382
15	54	3381
16	59	3432
17	62	3419
18	66	3422
19	70	3478
20	75	3496
21	78	3500
22	82	3494
23	85	3477
24	89	3490
25	93	3509
26	97	3503
27	100	3499
28	104	3504
29	108	3523
30	113	3554
31	117	3562
32	121	3552
33	125	3552
34	129	3576
35	132	3557
36	136	3554
37	140	3544
38	144	3559
39	148	3568
40	152	3564
41	155	3556
42	158	3536
43	162	3524
44	165	3514
45	169	3509
46	172	3502
47	176	3493
48	179	3481
49	182	3474
50	187	3484
51	191	3482
52	194	3471
53	198	3478
54	202	3475
55	205	3464
56	208	3456
57	212	3450
58	216	3454
59	219	3445
60	222	3430
61	225	3418
62	229	3416
63	232	3404
64	235	3393
65	239	3389
66	242	3382
67	246	3371
68	249	3366
69	252	3359
70	256	3360
71	260	3359
72	264	3357
73	268	3354
74	271	3352
75	275	3352
76	279	3348
77	282	3344
78	286	3338
79	290	3339
80	293	3329
81	296	3320
82	299	3310
83	302	3303
84	305	3293
85	309	3292
86	313	3286
87	316	3280
88	320	3276
89	323	3268
90	326	3259
91	329	3256
92	333	3255
93	336	3241
94	339	3234
95	342	3228
96	346	3227
97	350	3224
98	354	3227
99	358	3228
100	362	3226
101	367	3231
102	370	3225
103	374	3222
104	377	3216
105	381	3214
106	384	3210
107	388	3207
108	391	3199
109	395	3202
110	399	3201
111	401	3186
112	405	3182
113	409	3180
114	412	3174
115	416	3171
116	419	3166
117	423	3163
118	426	3159
119	428	3144
120	432	3138
121	436	3137
122	440	3137
123	443	3134
124	447	3131
125	450	3125
126	453	3114
127	456	3109
128	461	3116
129	465	3112
130	468	3109
131	472	3104
132	475	3097
133	478	3095
134	483	3097
135	487	3096
136	490	3092
137	494	3088
138	498	3085
139	502	3087
140	506	3082
141	510	3085
142	512	3072
143	516	3068
144	519	3064
145	523	3061
146	526	3054
147	529	3047
148	533	3046
149	536	3041
150	540	3040
151	544	3038
152	548	3035
153	551	3031
154	557	3038
155	561	3036
156	564	3032
157	568	3029
158	572	3026
159	574	3016
160	579	3018
161	583	3017
162	586	3012
163	590	3009
164	593	3005
165	597	3002
166	600	2997
167	604	2993
168	608	2989
169	611	2986
170	615	2983
171	618	2979
172	623	2979
173	626	2974
174	630	2970
