,street_id,observation_interval_start,availability,length,highway,maxspeed,geometry,study_area,hour,weekday,commercial_100,residential_100,transportation_100,schools_100,eventsites_100,restaurant_here_100,shopping_here_100,office_here_100,supermarket_here_100,transportation_here_100,schools_here_100,capacity,hourly_capacity,current_capacity,num_off_street_parking_100,off_street_capa_100,time_key,tempC,windspeedKmph,precipMM,ongoing_trans
0,1262,2019-03-21 08:00:00,0.0,206.47,residential,25,"LINESTRING (-122.30894 47.6061773, -122.3089404 47.6062534, -122.3089405 47.6062693, -122.3089411 47.6063559, -122.3089422 47.6065582, -122.3089442 47.6068431, -122.3089489 47.6075718, -122.3089518 47.6080341)",Cherry Hill,8,3,45.0,30.0,0.0,0.0,0.0,0,0,1,0,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,25,2019-03-21-08,12,10,0.0,1.0
1,18459,2019-03-21 08:00:00,1.0,99.09100000000001,tertiary,25,"LINESTRING (-122.30894 47.6061773, -122.3090644 47.6061778, -122.3095977 47.6061799, -122.3096692 47.6061783, -122.3098867 47.6061787, -122.3101587 47.6061791, -122.3102617 47.6061792)",Cherry Hill,8,3,15.0,0.0,0.0,0.0,0.0,0,1,1,2,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,103,2019-03-21-08,12,10,0.0,1.0
2,1257,2019-03-21 08:00:00,1.0,98.755,secondary,25,"LINESTRING (-122.3102402 47.6080375, -122.3103377 47.6080378, -122.310856 47.6080392, -122.3114426 47.6080408, -122.3115575 47.6080411)",Cherry Hill,8,3,75.0,105.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,15,2019-03-21-08,12,10,0.0,0.0
3,1259,2019-03-21 08:00:00,1.0,96.589,secondary,25,"LINESTRING (-122.3089518 47.6080341, -122.3096377 47.6080359, -122.3101365 47.6080372, -122.3102402 47.6080375)",Cherry Hill,8,3,60.0,60.0,0.0,0.0,0.0,0,1,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,0,0,2019-03-21-08,12,10,0.0,1.0
4,1262,2019-03-21 09:00:00,0.0,206.47,residential,25,"LINESTRING (-122.30894 47.6061773, -122.3089404 47.6062534, -122.3089405 47.6062693, -122.3089411 47.6063559, -122.3089422 47.6065582, -122.3089442 47.6068431, -122.3089489 47.6075718, -122.3089518 47.6080341)",Cherry Hill,9,3,45.0,30.0,0.0,0.0,0.0,0,0,1,0,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,25,2019-03-21-09,13,11,0.0,1.0
5,18459,2019-03-21 09:00:00,0.0,99.09100000000001,tertiary,25,"LINESTRING (-122.30894 47.6061773, -122.3090644 47.6061778, -122.3095977 47.6061799, -122.3096692 47.6061783, -122.3098867 47.6061787, -122.3101587 47.6061791, -122.3102617 47.6061792)",Cherry Hill,9,3,15.0,0.0,0.0,0.0,0.0,0,1,1,2,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,103,2019-03-21-09,13,11,0.0,2.0
6,1259,2019-03-21 09:00:00,1.0,96.589,secondary,25,"LINESTRING (-122.3089518 47.6080341, -122.3096377 47.6080359, -122.3101365 47.6080372, -122.3102402 47.6080375)",Cherry Hill,9,3,60.0,60.0,0.0,0.0,0.0,0,1,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,0,0,2019-03-21-09,13,11,0.0,1.0
7,1257,2019-03-21 09:00:00,1.0,98.755,secondary,25,"LINESTRING (-122.3102402 47.6080375, -122.3103377 47.6080378, -122.310856 47.6080392, -122.3114426 47.6080408, -122.3115575 47.6080411)",Cherry Hill,9,3,75.0,105.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,15,2019-03-21-09,13,11,0.0,0.0
8,18459,2019-03-21 10:00:00,1.0,99.09100000000001,tertiary,25,"LINESTRING (-122.30894 47.6061773, -122.3090644 47.6061778, -122.3095977 47.6061799, -122.3096692 47.6061783, -122.3098867 47.6061787, -122.3101587 47.6061791, -122.3102617 47.6061792)",Cherry Hill,10,3,15.0,0.0,0.0,0.0,0.0,0,1,1,2,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,103,2019-03-21-10,14,11,0.0,2.0
9,1257,2019-03-21 10:00:00,1.0,98.755,secondary,25,"LINESTRING (-122.3102402 47.6080375, -122.3103377 47.6080378, -122.310856 47.6080392, -122.3114426 47.6080408, -122.3115575 47.6080411)",Cherry Hill,10,3,75.0,105.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,15,2019-03-21-10,14,11,0.0,0.0
10,1259,2019-03-21 10:00:00,1.0,96.589,secondary,25,"LINESTRING (-122.3089518 47.6080341, -122.3096377 47.6080359, -122.3101365 47.6080372, -122.3102402 47.6080375)",Cherry Hill,10,3,60.0,60.0,0.0,0.0,0.0,0,1,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,0,0,2019-03-21-10,14,11,0.0,2.0
11,1262,2019-03-21 10:00:00,0.0,206.47,residential,25,"LINESTRING (-122.30894 47.6061773, -122.3089404 47.6062534, -122.3089405 47.6062693, -122.3089411 47.6063559, -122.3089422 47.6065582, -122.3089442 47.6068431, -122.3089489 47.6075718, -122.3089518 47.6080341)",Cherry Hill,10,3,45.0,30.0,0.0,0.0,0.0,0,0,1,0,1,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,25,2019-03-21-10,14,11,0.0,0.0
12,1257,2019-03-21 11:00:00,1.0,98.755,secondary,25,"LINESTRING (-122.3102402 47.6080375, -122.3103377 47.6080378, -122.310856 47.6080392, -122.3114426 47.6080408, -122.3115575 47.6080411)",Cherry Hill,11,3,75.0,105.0,0.0,0.0,0.0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,15,2019-03-21-11,15,11,0.0,0.0
13,1259,2019-03-21 11:00:00,1.0,96.589,secondary,25,"LINESTRING (-122.3089518 47.6080341, -122.3096377 47.6080359, -122.3101365 47.6080372, -122.3102402 47.6080375)",Cherry Hill,11,3,60.0,60.0,0.0,0.0,0.0,0,1,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,0,0,2019-03-21-11,15,11,0.0,1.0
14,18459,2019-03-21 11:00:00,1.0,99.09100000000001,tertiary,25,"LINESTRING (-122.30894 47.6061773, -122.3090644 47.6061778, -122.3095977 47.6061799, -122.3096692 47.6061783, -122.3098867 47.6061787, -122.3101587 47.6061791, -122.3102617 47.6061792)",Cherry Hill,11,3,15.0,0.0,0.0,0.0,0.0,0,1,1,2,2,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 0, '18': 0, '19': 0, '20': 0, '21': 0, '22': 0, '23': 0}",0,1,103,2019-03-21-11,15,11,0.0,0.0
